sentiment,news
positive,10 February 2011 Finnish medium company Sanoma SAA 1 V say yesterday it 2010 net profit almost triple to EUR 297 m from EUR 107 m for 2009 and announce a proposal for a raise payout
positive,A Helsinki ELIiV today report EPS of EUR 1 for 2009 an increase over EPS of EUR 1 in 2008
positive,Aspo Plc STOCK EXCHANGE RELEASE February 11 2011 at 8 a.m. ESL Shipping Ltd part of Aspo Group have sign a new long-term contract with Rautaruukki Corporation for the marine transport of raw material on the Baltic Sea
positive,Commission income increase by 22 to EUR 4 m and lending volume rise by 13
positive,In January traffic measure in revenue passenger kilometres RPK go up by 3 and capacity measure in available seat kilometre ASK rise by 12
positive,In January-September 2010 Fiskars net profit go up by 14 year-on-year to EUR 65 m and net sale to EUR 525 m from EUR 487 m
positive,Net income from life insurance rise to EUR 16 m from EUR 14 m and net income from non-life insurance to EUR 22 m from EUR 15 m in 2009
positive,Nyrstar have also agree to supply to Talvivaara up to 150 000 tonne of sulphuric acid per annum for use in Talvivaaraleaching process during the period of supply of the zinc in concentrate
positive,Sales for both the Department Store Division and Hobby Hall increase by 7 while sale for the clothing store subsidiary Seppala decrease by 4
positive,Sales have rise in other export market
positive,Sales increase due to grow market rate and increased operation
positive,The agreement strengthen our long-term partnership with Nokia Siemens Networks
positive,The agreement be sign with Biohit Healthcare Ltd the UK-based subsidiary of Biohit a Finnish public company which develop manufacture and market liquid handle product and diagnostic test system
positive,The company also estimate the already carry out investment to lead to an increase in it net sale for 2010 from 2009 when they reach EUR 141 m
positive,The companyorder book stand at 1 bln EUR 2 bln on September 30 2007 up by 24 on the year with international order amount to 365 m EUR 534 m
positive,The company say that paper demand increase in all of it main market include of publication paper and that it increase average paper price by 4 percent compare with last year
positive,The worldsecond large stainless steel maker say net profit in the three-month period until Dec. 31 surge to EUR 603 m US 781 m or EUR 3 US 4 per share from EUR 172 m or EUR 0 per share the previous year
positive,Within the framework of the partnership Nokia Siemens Networks have sign an initial framework purchase agreement with Sitronics subsidiary JSC Mikron which be the large manufacturer and exporter of microelectronic component in Russia
positive,Seppalarevenue increase by 0 to EUR 10 m. In Finland revenue go down by 2 to EUR 6 m while sale abroad rise by 6 to EUR 3 m. Sales increase in all the Baltic country as well a in Russia and Ukraine
positive,Shares of Standard Chartered STAN rise 1 in the FTSE 100 while Royal Bank of Scotland RBS share rise 2 and Barclays share BARC BCS be up 1
positive,Shares of Nokia Corp. rise Thursday after the cell phone maker say it third-quarter earnings almost double and it share of the global handset market increase
positive,In it financial report publish on Friday SEB say it net profit soar to SEK 6 bn in 2010 from a year-earlier SEK 1 bn and propose a 50 dividend increase to SEK 1 per share
positive,Sales for the Department Store Division increase by 15 and sale for the clothing store subsidiary Seppala increase by 8 Meanwhile sale for Hobby Hall decrease by 12
neutral,At the request of Finnish medium company Alma Medianewspapers research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics have draw up a future scenario for Finlandnational economy by use a model develop by the University of Denver
neutral,In Sweden Gallerix accumulate SEK denominate sale be down 1 and EUR denominate sale be up 11
neutral,The company support it global customer in develop new technology and offer a fast route from product development to application and volume production
neutral,When this investment be in place Atria plan to expand into the Moscow market
neutral,The new agreement be a continuation to theagreement sign earlier this year with the Lemminkainen Group whereby Cramo acquire the entire construction machine fleet ofLemminkainen Talo Ita ja Pohjois Suomo and sign asimilar agreement say Tatu Hauhio manage director ofCramo Finland
positive,At first the contract envisage the construction of three ferryboat with an option for two more unit far confirm at a total value of 500 m EUR 645 m
neutral,In June it sell a 30 percent stake to Nordstjernan and the investment group have now take up the option to acquire EQTremaining share
positive,KESKO CORPORATION STOCK EXCHANGE RELEASE 28 AT 09 1 1 Kesko Corporation and Aspo plc today sign an agreement by which Aspo acquire the share capital of Kauko-Telko Ltd a subsidiary wholly own by Kesko
positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15 1 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda have sign an agreement for a one-year syndicate credit facility for a total of EUR 1 billion
neutral,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 1 BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 share have be subscribe with BasWare Warrant Program
positive,The contract cover HDO platform AC 800 and CXE 880 optical Fttb node design to increase the forward and return path capacity of the transmission network
neutral,The new plant be plan to have an electricity generation capacity of up to 350 megawatt MW and the same heat generation capacity
positive,The OMX Helsinki 25 index be up 0 at 2 518 and the Helsinki CAP portfolio index be 0 high at 4 711
neutral,So the sale growth of car considerably influence on the tire market
neutral,A maximum of 666 104 new share can far be subscribe for by exercise B option under the 2004 stock option plan
neutral,As a result of the share issue the number of the companyshares increase by 391 630 share and the share capital by a total of EUR 15 665
neutral,Finnish real estate investor Sponda Plc say on Wednesday 12 March that it have sign agreement with Danske Bank A-S Helsinki Branch for a 7-year EUR 150 m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR 50 m credit facility
neutral,On the route between Helsinki in Finland and Tallinn in Estonia cargo volume increase by 36 while cargo volume between Finland and Sweden fell by 9
neutral,Other measure include increase synergy and economy of scale within the Grimaldi Group and personnel adjustment divestments and redelivery of excess tonnage
positive,Rinkuskiai raise the sale by 18 percent to 1 m liter while the sale of Kauno Alus grow by 14 percent to 960 000 liter
neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sell stake in Morning Digital Design Finnish IT company TJ Group Plc say on Friday 7 April that it have sign an agreement on sell it share of Morning Digital Design to Edita
positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sell stake in Morning Digital Design Finnish IT company TJ Group Plc say on Friday 7 April that it have sign an agreement on sell it share of Morning Digital Design to Edita
neutral,The 718 430 new Series A share will become subject to trading on the Helsinki Stock ExchangeMain List together with the old Series A share on July 3 2006
neutral,The fuel purchase contract have be sign with three month delivery from this September to November
neutral,Tiimari operate 194 store in six country include it core Finnish market and generate a turnover of 76 m EUR in 2005
positive,Under this agreement Biohit become a focus supplier of pipettors and disposable pipettor tip to VWR customer throughout EURpe
positive,The combination of all service enable u to offer a complex and strengthened service chain not only limited to the Baltic port connection but also for get access to the world wide Grimaldi Network into the Mediterranean Africa and North America say Uwe Bakosch
neutral,No blind-spots come from 1 vantage point allow investigator to see the whole story in high resolution with no unbroken video
positive,The company still expect it turnover in 2010 to slightly increase from the level of 2009 add that market predictability be still too poor for trustworthy forecast on the market development of the contract manufacturing business during the current year
positive,The acquisition will considerably increase Kemirasales and market position in the Russian metal industry coating market
positive,In January-September 2007 Finnlines net sale rise to EUR 505 m from EUR 473 m in the corresponding period in 2006
positive,Adjusted for change in the Group structure the Divisionnet sale increase by 1
positive,The change will optimize the operational efficiency of our grow business say Julia Prohaska director of marketing communication for Fiskars
positive,They would invest not only in the physical infrastructure but would also provide know-how for managing and develop science and technology park say Sunrise Valley director Andrius Bagdonas
positive,4 February 2011 Finnish broadband data communication system provider Teleste TLT 1 V saw it net profit jump to EUR 2 m for the last quarter of 2010 from EUR 995 000 for the same period of 2009
positive,Finnish Aktia Groupoperating profit rise to EUR 17 m in the first quarter of 2010 from EUR 8 m in the first quarter of 2009
positive,Finnish Bank of landconsolidated net operating profit increase from EUR 4 m in the first quarter of 2005 to EUR 6 m in the first quarter of 2006
positive,Finnish financial group Aktia report operating profit of EUR 44 m in January-September 2009 up from EUR 37 m in the corresponding period in 2008
positive,Finnish high technology provider Vaahto Group report net sale of EUR 41 m in the accounting period September 2007 February 2008 an increase of 11 from a year earlier
positive,Net sale of Finnish food industry company L nnen Tehtaatcontinuing operation increase by 13 in 2008 to EUR 349 m from EUR 309 m in 2007
positive,An individual promotion also generate slightly higher-than-expected revenue
positive,Biohit already service many current Genesis customer and the customer base be expect to expand a a result of this agreement
positive,Both operating profit and turnover for the three-month period increase respectively from EUR 0 m and EUR 8 m a compare to the corresponding period in 2005
positive,Circulation revenue have increase by 5 in Finland and 4 in Sweden in 2008
positive,Clothing chain Sepp lnet sale increase by 7 to EUR 30 m
positive,Construction volume meanwhile grow at a rate of 10-15 percent annually
positive,Finnish and Swedish construction market be still experience an estimate 4 annual growth in 2008
positive,However Biohit estimate it total net sale will continue to grow in 2009 and that favourable trend in net sale will lead to a profit in 2009
positive,In 2009 Fiskars cash flow from operate activity amount to EUR 121 m up from EUR 97 m in the previous year
positive,In Lithuania operating profit rise to EUR 190 000 from EUR 70 000 in the corresponding period in 2005
positive,In the fourth quarter of 2008 net sale increase by 2 to EUR 1 050 m from EUR 1 027 m in the fourth quarter of 2007
positive,International sale rise by 59 to EUR 1 244 m
neutral,Kalmar Espana generate net sale of some 11 m EUR 14 m in 2005
positive,Net sale grow in the period to x 20 ac 402 m 585 US m from 20 ac 401 m in 2006
positive,Net sale increase to EUR 655 m in April to June 2010 from EUR 438 m a year earlier
positive,Net sale rise by 25 year-on-year to EUR 59 m a the number of charger deliver go up by 41 to 65 m piece
positive,Net sale total EUR 93 m up from EUR 93 m in the corresponding period in 2005
positive,Nokia also note the average selling price of handset decline during the period though it mobile phone profit margin rise to more than 22 percent from 13 percent in the year-ago quarter
positive,Operating profit increase by 145 to EUR 8 m from EUR 3 m
positive,Operating profit margin increase from 11 to 11
positive,Operating profit rise to EUR 3 m from EUR 1 m in the corresponding period in 2009
positive,Operating profit rise to EUR 5 m from EUR 2 m in the fourth quarter of 2008
positive,Operating profit be EUR 24 m up from EUR 23 m
positive,Ramirentnet sale in the second quarterended June 30 be EUR 128 m about U.S. 163 m a 3-percent increase compare with EUR 124 m for thesecond quarter last year
positive,Revenue grow by 2 percent to x 20 ac 580 m 743 m from 20 ac 569 m
positive,Ruukki announce that it have sign an agreement with Aker Solutions of Norway to supply 24 suction anchor in September 2010 from it Kalajoki unit in Finland
positive,Ruukkidelivery volume and sell price show favourable development and the companycomparable net sale grow by 50 year-on-year to EUR 647 m CEO Sakari Tamminen say
positive,Sanoma Magazines net sale be estimate to grow in 2006
positive,The bank forecast FinlandGDP will grow by 2 in 2010 and in 2011
positive,The circuitoverall production rate on a weekly basis be now in excess of an average of 40 000 tonne per day with volume in excess of 50 000 tonne per day be reach on individual day
positive,The companyconsolidated operating profit amount to EUR 15 m up from EUR 4 m year-on-year
positive,The Department Store Division report an increase in sale of 4 per cent
positive,The fair value of the companyinvestment property grow to EUR 2 billion at the end of March 2009 from EUR 2 m a year ago
positive,The last quarter be the best quarter of 2009 in net sale and the operating margin rise to 12
positive,The major brewery increase their domestic beer sale by 4 per cent last year to 256 m litre from 245 m litre in 2004
positive,The transaction double Tecnomens workforse and add a fourth to their net sale
positive,Operating profit rise by 26 to EUR 105 83 m
positive,After this purchase Cramo will become the second large rental service provider in the Latvian market
positive,The priority for 2009 be to strengthen the companybalance sheet and increase cash flow CEO Hannu Krook say
positive,The purchase of the operation be part of YITstrategy to expand it offering of building system service geographically
positive,21 October 2010 Finnish fishing tackle company Rapala VMC Corp RAP 1 V say today it net profit rise to EUR 18 m for the first nine month of 2010 from EUR 15 m for the same period a year earlier
neutral,A structure BIM building information model software from Tekla a model-based software provider have be adopt for the construction management and delivery of a university project in Abu Dhabi
positive,According to Finnish Metso Minerals the value of the companyorders have go up to EUR 1 bn in 12 month
positive,Finnish Aldata Solution have sign a contract of supply it G.O.L.D system to two French retail chain
positive,Finnish Bank of land report it operating profit rise to EUR 21 m in the second quarter of 2009 from EUR 6 m in the corresponding period in 2008
positive,Finnish financial group Aktiaoperating profit for 2009 increase to EUR 47 m from EUR 6 m in 2008
positive,Finnish forest machinery manufacturer Ponssenet sale grow to EUR 51 m in the first quarter of 2010 from EUR 37 m in the corresponding period in 2009
positive,Finnish KCI Konecranes have raise it net sale growth estimate for 2006 from over 25 to over 35
positive,Finnish Okmetic that manufacture and process silicon wafer for the semiconductor and sensor industry and Norwegian solar wafer company NorSun have sign a contract under which Okmetic will supply NorSun mono silicon crystal for use in solar cell manufacturing
positive,Finnish pharmaceutical company Orionnet sale rise to EUR 190 m in the first quarter of 2009 from EUR 180 m in the first quarter of 2008
positive,Finnish Ponsse have sign an agreement with Babcock Africa for the distribution and support of Ponsse forest machine harvester head and information system in South Africa
positive,South African Sappi will become the large foreign forest industry company operate in Finland a a result of the acquisition Finnish M-real CorporationGraphic Papers Business unit
positive,According to Deputy MD Pekka Silvennoinen the aim be double turnover over the next three year
positive,According to HKScan Finland the plan be to increase J rvi-Suomen Porttinet sale to EUR 80 m to EUR 100 m
positive,Advertising and circulation revenue grow by 3 and by 0 respectively
positive,After the takeover Cramo will become the second large rental service provider in the Latvian market
positive,Again the most significant sale increase of 18 be in Russia
positive,Alma Media expect it net sale to increase a forecast previously
positive,Also Lemmink inenprofit for accounting period go up to EUR 3 m from EUR -24 m a year ago
positive,At the end of March 2007 the grouporder book be at EUR 39 m up 42 from the corresponding period in 2006
positive,At the same time profit of the company increase by 10 in H 1 and reach Ls 79 000
neutral,Aviation Systems Maintenance be base in Kansas and generate net sale of USD 2 m for 2008
positive,Besides we have increase the share of meat in various sausage and be offer a number of new taste in the grill product and shish kebab segment Paavel say
positive,Both operating profit and net sale for the 12-month period increase respectively from EUR 10 m and EUR 28 m a compare to the financial year 2004
positive,Both operating profit and net sale for the 12-month period increase respectively from EUR 20 m and EUR 177 m a compare to the financial year 2004
positive,Both operating profit and net sale for the 12-month period increase respectively from EUR 21 m and EUR 196 m a compare to 2005
positive,Both operating profit and net sale for the 12-month period increase respectively from EUR 4 m and EUR 26 m a compare to 2004
positive,Both operating profit and net sale for the nine-month period increase respectively by 26 and 3 a compare to the corresponding period in 2006
positive,Both operating profit and net sale for the six-month period increase respectively from EUR 13 m and EUR 143 m a compare to the corresponding period in 2007
positive,Both operating profit and net sale for the six-month period increase respectively from EUR 0 m and EUR 3 m a compare to the corresponding period in 2005
positive,Both operating profit and net sale for the six-month period increase respectively from EUR 18 m and EUR 127 m a compare to the corresponding period in 2006
positive,Both operating profit and net sale for the six-month period increase respectively from EUR 7 m and EUR 655 m a compare to the corresponding period in 2005
positive,Both operating profit and net sale for the three-month period increase respectively from EUR 15 m and EUR 131 m a compare to the corresponding period in 2005
positive,Both operating profit and net sale for the three-month period increase respectively from EUR 16 m and EUR 139 m a compare to the corresponding quarter in 2006
positive,Both operating profit and sale for the three-month period increase respectively from EUR 0 m and EUR 13 m a compare to the corresponding period in 2005
positive,Both operating profit and turnover for the nine-month period increase respectively from EUR 2 m and EUR 43 m a compare to the corresponding period a year ago
positive,Both operating profit and turnover for the six-month period increase respectively from EUR 17 m and EUR 1149 m a compare to the corresponding period in 2007
positive,Both operating profit and turnover for the six-month period increase respectively from EUR 0 m and EUR 29 m a compare to the corresponding period a year ago
positive,Cargo volume grow by 7
positive,Cargo volume increase by approximately 5
positive,comparable operating profit total EUR 854 m up from EUR 730 m in 2004
positive,Digia say it consolidated net sale for January-June 2010 be EUR 67 m up 9 on the same period in 2009 EUR 61 m
positive,Diluted earnings per share EPS rise to EUR 0 from EUR 0
positive,Diluted earnings per share EPS rise to EUR 0 versus EUR 0
positive,Diluted earnings per share EPS rise to EUR 1 from EUR 0
positive,Diluted earnings per share EPS rise to EUR 3 from EUR 0
positive,Diluted EPS rise to EUR 3 from EUR 0
positive,EBIT margin be up from 1 to 5
neutral,Editornote Grimaldi generate a 1 bln EUR 2 bln turnover in 2005 ANSA report on May 29 2006
positive,EPS for the quarter be EUR 0 a compare with EUR 0 in the third quarter of 2008 represent a Group net sale for the third quarter be EUR 15 m up by 2 a compare with EUR 14 m in the third quarter of 2008
positive,EPS from continue operation come in at 0 EUR up from 0
positive,Equity ratio be 60 compare to 54 In the third quarter of 2007 net sale of the Frozen Foods Business total EUR 11 up by about 5 from the third quarter of 2006
positive,EUR 928 000 in Q 1 2010 6 May 2010 Finnish textile and clothing design company Marimekko MMO 1 V say today it net profit rise to EUR 928 000 in the first quarter of 2010 from EUR 13 000 in the corresponding period a year earlier
positive,Finland-based Elcoteq SE a privately hold provider of electronics manufacture service to communication company say Thursday it sign a long-term manufacturing supply deal with communication equipment company Andrew Corp.
positive,Finnish cutlery and hand tool maker Fiskars Abp FISAS say today it net profit rise to EUR 24 m USD 33 m in the third quarter of 2010 from EUR 17 m a year earlier
positive,Finnish department store chain Stockmann Abp net profit rise to 39 m EUR 56 m for the first nine month of 2007 from 37 m EUR 53 m for the same period of 2006
positive,Finnish lifting equipment maker Konecranes say on July 30 2008 that it net profit rise to 71 m EUR 111 m for the first half of 2008 from 57 m EUR 89 m for the same period of 2007
positive,Finnish message solution developer Tecnomen Corporation OMX Helsinki TEM 1 V say on Thursday 11 December that it have receive an expansion order for it Convergent Charging solution in Latin America
positive,Finnish metal industry solution supplier Outotec net profit rise to 50 m EUR 72 m for the first nine month of 2007 from 20 m EUR 28 m for the same period of 2006
positive,Finnish metal product company Componenta net profit rise to 26 m EUR 35 m for the first quarter of 2007 from 5 m EUR 7 m for the same period of 2006
positive,Finnish office supply and computer accessory dealer Beltton-Group Plc say it net profit rise to 1 m EUR 1 m in 2006 from 1 m EUR 1 m in 2005
positive,Finnish security and privacy software solution developer Stonesoft say on January 7 2008 that the preliminary sale of it StoneGate product grow by 59 year-on-year to 3 m EUR 5 m for the fourth quarter of 2007
positive,Finnish silicon wafer technology company Okmetic OMX Helsinki OKM 1 V report on Thursday 7 August an operating profit of EUR 5 m for the period January-June 2008 up from EUR 3 m in the corresponding period in 2007
positive,Finnish software developer Done Solutions say it net profit increase to 3 m EUR 4 m in 2006 from 2 m EUR 3 m in 2005
positive,First quarter underlie operating profit rise to 41 m EUR from 33 m a year earlier
positive,Following the acquisition Relacom will strengthen it presence in Finland serve operator and office market with mobile and fixed network construction installation and maintenance service
positive,For the first nine month of 2010 the companynet profit rise to EUR 41 m from EUR 30 m for the corresponding period of 2009
positive,SINKI AFX Retail and wholesale group Kesko report net sale of 659 m EUR for February an increase of 10 year-on-year
positive,However net sale in 2010 be see to have grow to EUR 598 m from EUR 582 m in 2009
positive,However sale return to growth in April-June 2010 CEO Pekka Eloholma say
positive,Ragutis which be control by the Finnish brewery report a 5-per-cent rise in beer sale to 10 m litre and hold an 11-per-cent market share
positive,Svyturys-Utenos Alus which be control by the Nordic group Baltic Beverages Holding BBH post a 4-per-cent growth in beer sale for January-May to 46 m litre
neutral,In 2007 Contempus generate revenue of NOK 69 approx
positive,In addition Kone sign a two-year maintenance contract for the escalator
positive,In December alone the member of the Lithuanian Brewers Association sell a total of 20 m liter of beer an increase of 1 percent from the sale of 19 m liter in December 2004
positive,In January-September 2009 the Groupnet interest income increase to EUR 112 m from EUR 74 m in January-September 2008
positive,In Q 1 of 2010 Bank of landnet interest income increase from EUR 9 m to EUR 9 m
positive,In Sweden operating profit for the period under review total EUR 3 m up 30 from the corresponding period in 2005
positive,In the fourth quarter of 2009 Orionnet profit go up by 33 year-on-year to EUR 33 m
positive,In the second quarter of 2010 the groupnet profit rise to EUR 3 m from EUR 2 m in April-June 2009
positive,In the second quarter of 2010 the groupnet profit rise to EUR 3 m from EUR 2 m in April-June 2009
positive,In the third quarter net sale increase by 12 year-on-year to EUR 159 m or by 6 at comparable currency rate growth
positive,In the third quarter net sale increase by 12 year-on-year to EUR 159 m or by 6 at comparable currency rate growth
neutral,Incap estimate it will generate a revenue of 10 m EUR 13 m from it Indian operation for 2007
positive,Its market share widen to 48 percent from 48 percent a year earlier
neutral,Its total annual revenue come up to about 160 m zloty 56 m -42 m EUR
positive,Kesko Agro Eesti the retailer and wholesaler of grain agricultural and warehousing machinery and accessory have net sale of 81 m EURs in 2007 an increase by one-tenth over the preceding year
positive,Keskocar import and retailing business VV-Auto saw sale grow by 17
positive,Konenet sale rise by some 14 year-on-year in the first nine month of 2008
positive,ADP News Feb 11 2009 Finnish management software solution provider Ixonos XNS 1 V say today it net profit rise to EUR 3 m USD 4 m for 2008 from EUR 3 m for 2007
positive,ADP News Feb 12 2009 Finnish IT solution provider Affecto AFE 1 V say today it net profit rise to EUR 8 m USD 11 m in 2008 from EUR 7 m in 2007
positive,ADP News Feb 6 2009 Finnish fishing tackle company Rapala VMC Corp RAP 1 V say today it net profit rise to EUR 19 m USD 24 m for 2008 from EUR 17 m for 2007
positive,ADP News Nov 5 2008 Finnish electronic measurement product and solution maker Vaisala OMX VAIAS say today that it net profit rise to EUR 18 m USD 23 m for the first nine month of 2008 from EUR 1
positive,ADP News Oct 29 2008 Finnish lifting equipment maker Konecranes OMX KCR 1 V say today that it net profit rise to EUR 116 m USD 149 m in the first nine month of 2008 from EUR 73 m for the s
positive,Metso expect it net sale to increase by about 10 in 2008 at comparable exchange rate
neutral,M-real generate a turnover of EUR 5 bn in 2006 and have 15 500 employee
positive,Neste Oil Corp. have sign long-term procurement contract with Honkajoki and Findest Protein both own by Finnish food manufacturer for the supply of animal fat for biodiesel production at Neste200 000 b-cd Porvoo Finland refinery
positive,Net interest income increase by 4 to EUR 31 m from EUR 30 m in 2004
positive,Net interest income be EUR 152 m up from EUR 101 m in 2008
positive,Net interest income be EUR 39 m up from EUR 32 m
positive,Net sale of the Vegetable Oil Business rise to EUR 10 m from EUR 10 m
positive,Nokia Multimedianet sale total EUR 5 bn up 45 from the corresponding period in 2005
positive,Operating income rise to EUR 696 m from EUR 600 m in 2009
positive,Operating profit of Kauppalehti group rise to EUR 1 m from EUR 1 m and that of Marketplaces to EUR 1 m from EUR 1 m in the third quarter of 2006
positive,Operating profit rise from EUR 1 m to EUR 2 m
positive,Operating profit rise to 22 m EUR from 19 m
positive,Operating profit rise to EUR 1 m from EUR 1 m in the corresponding period in 2006
positive,Operating profit rise to EUR 103 m from EUR 23 in the corresponding period in 2006
positive,Operating profit rise to EUR 13 m from EUR 9 m in the corresponding period in 2006
positive,Operating profit rise to EUR 26 m from EUR 14 m in the corresponding period in 2006
positive,Operating profit rise to EUR 27 m from EUR 17 m in 2008
positive,Operating profit rise to EUR 3 m from EUR 1 m in the corresponding period in 2008
positive,Operating profit rise to EUR 4 m from EUR 3 m
positive,Operating profit rise to EUR 4 m from EUR 4 m
positive,Operating profit rise to EUR 9 m from EUR 6 m in the corresponding period in 2007
positive,Operating profit rise to EUR 2 m from EUR 1 m year earlier
positive,Operating profit surge to EUR 21 m from EUR 106 000
positive,Operating profit total EUR 37 7 m up slightly from EUR 37 m in the corresponding period in 2006
positive,Operating profit total EUR 5 m up from EUR -0 m
positive,Operating profit be EUR 11 m up from EUR 7 m
positive,Operating profit be EUR 139 m up 23 from EUR 113 m
positive,Order intake grow by 40 year-on-year and 30 year-on-year respectively to EUR 576 m and EUR 1 billion for the respective January-September and July-September 2010 period
positive,Orders receive grow by 55 year-on-year to EUR 732 m
positive,Orion Pharmaoperating profit increase by 42 from 2004
positive,Passenger volume rise by 8 in the accounting period
positive,Passenger-related revenue rise by 5 to EUR 460 m from EUR 438 m in 2009
positive,Press release 9 October 2009 Ruukki have sign a contract to deliver and install the steel structure for a bridge over the Kyronsalmi strait in Savonlinna Finland
positive,Pretax profit rise to EUR 0 m from EUR 0 m in the corresponding period in 2005
positive,Pretax profit rise to EUR 1 019 m from EUR 1 007 in the corresponding period in 2005
positive,Pretax profit rise to EUR 17 m from EUR 14 m in 2005
positive,Pre-tax profit total EUR 397 m up from EUR 164 m
positive,Previously the company have guide for EBIT and sale growth of 20 and 10 respectively for this year
positive,Previously the company have estimate it operating profit to reach the level of 2005 only
positive,Profit for the period total EUR 39 m up from EUR 33 m in the corresponding period in 2006
positive,Profit for the period be EUR 5 m up from EUR 1 m
positive,Profit for the period be EUR 9 m up from EUR 6 m in 2004
positive,Revenue grow 12 percent to x 20 ac 3 billion US 4 billion
